# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1726536242
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-29.613,0.912414,0.25,1,1,0,29.6155,-0.261055
-29.613,0,12.2677,0,1,1,30.6312,-0.261055
-29.613,0,1.97769,0,1,1,31.0824,-0.261055
-29.2392,0.986603,0.189877,1,3,0,29.7467,-0.0708933
-29.7921,0.871151,0.243044,2,3,0,30.0893,0.167395
-29.3749,1,0.255619,2,3,0,29.6652,0.0488061
-29.3749,0.0414141,0.427149,1,1,0,30.7103,0.0488061
-29.3077,0.999963,0.03823,2,5,0,29.3887,0.0151147
-29.4379,0.996532,0.0679182,3,9,0,29.6289,-0.208682
-29.4093,1,0.123321,2,3,0,29.4396,-0.19815
-29.3359,0.972384,0.230706,1,3,0,29.6284,0.0306832
-29.3359,0.199735,0.399386,1,1,0,29.8405,0.0306832
-29.9495,0.989559,0.0609027,3,9,0,30.557,-0.33419
-29.8919,1,0.11286,1,1,0,29.9665,-0.323162
-29.686,1,0.215805,1,1,0,29.9042,-0.279065
-29.686,0.0022844,0.410855,1,1,0,31.2592,-0.279065
-29.351,0.996991,0.0360838,4,17,0,30.8899,0.0380456
-29.3327,0.994993,0.0686561,3,11,0,29.7445,-0.164436
-29.4878,0.978356,0.128853,2,5,0,29.7592,0.0899471
-29.2948,0.976811,0.228095,1,3,0,29.6544,-0.142352
-29.2948,0.828267,0.398613,1,1,0,29.3456,-0.142352
-29.2948,0.0260495,0.445189,1,1,0,30.024,-0.142352
-29.9416,0.99278,0.0472739,3,15,0,30.481,-0.332711
-29.9414,1,0.0866477,1,1,0,29.9679,-0.332667
-29.9674,0.996646,0.160571,1,1,0,30.0487,-0.337535
-30.0236,0.976369,0.291741,1,1,0,30.3297,-0.347745
-29.95,0.354784,0.495521,1,3,0,29.9739,0.198855
-29.2443,0.950753,0.145567,1,3,0,30.7021,-0.044859
-29.252,0.975199,0.229572,2,3,0,29.3918,-0.103626
-29.3805,0.909374,0.384418,1,1,0,29.382,0.0511678
-29.3805,0.00148003,0.532943,1,1,0,29.7667,0.0511678
-29.3634,0.999985,0.0624194,2,3,0,29.3842,0.0437515
-29.2547,0.99996,0.111515,2,7,0,29.3618,-0.0281546
-29.8845,0.924773,0.197335,2,3,0,29.9782,0.186277
-29.2391,0.99971,0.283476,1,3,0,29.6412,-0.0688023
-29.2399,0.999003,0.493024,1,1,0,29.2403,-0.0768352
-29.2399,0.184502,0.848408,1,1,0,29.2918,-0.0768352
-29.2399,0.959655,0.175807,2,3,0,29.5869,-0.0768352
-29.3204,0.918378,0.27329,2,3,0,29.5222,-0.157879
-29.2523,1,0.379801,1,1,0,29.2914,-0.104043
-29.2523,2.41181e-13,0.645607,1,1,0,31.2666,-0.104043
-29.3644,0.962532,0.0883869,3,7,0,30.9464,-0.179623
-29.3781,0.998708,0.137218,1,1,0,29.3851,-0.185592
-29.3565,1,0.231457,1,1,0,29.3992,-0.176056
-29.5855,0.841079,0.388679,1,1,0,29.7226,-0.2538
-29.5855,0.0942378,0.439649,1,1,0,29.9101,-0.2538
-30.1413,0.968933,0.0813143,1,3,0,30.8146,-0.368022
-29.9897,1,0.126216,2,3,0,30.1437,-0.341631
-29.4991,0.884161,0.209709,1,3,0,31.0071,0.0934974
-29.4036,1,0.262843,2,3,0,29.5107,0.0605271
-29.4036,0.0015423,0.431505,1,1,0,31.8475,0.0605271
-29.445,0.999326,0.067931,2,3,0,29.4484,0.0757446
-29.4141,1,0.111581,1,1,0,29.4449,0.0645561
